symbol,ltp,changepct,contribution
INFY,1541.1,3.68,43.43
HCLTECH,1662.6,4.23,15.21
ICICIBANK,1383.1,0.71,15.06
TCS,3147.7,1.96,13.53
SBIN,982.75,1.06,9.09
HINDUNILVR,2441.6,1.56,7.52
HDFCBANK,994.6,0.22,7.32
BHARTIARTL,2159.8,0.49,6.06
SUNPHARMA,1784.1,1.44,5.66
LT,4019.6,0.5,5.22
M&M,3722.5,0.75,5.12
TITAN,3933.1,1.39,4.74
KOTAKBANK,2105.9,0.61,4.16
WIPRO,246.07,2.15,3.25
AXISBANK,1270.4,0.4,3.12
EICHERMOT,6896.5,1.2,2.56
NESTLEIND,1279.0,1.1,2.21
BEL,423.2,0.55,1.85
ONGC,249.0,0.83,1.82
APOLLOHOSP,7459.0,1.0,1.72
TECHM,1433.9,0.84,1.69
HEROMOTOCO,5876.5,1.33,1.56
CIPLA,1526.8,0.81,1.52
TATASTEEL,173.21,0.44,1.47
TATACONSUM,1162.1,0.69,1.15
SBILIFE,2004.8,0.58,1.12
POWERGRID,275.15,0.35,1.01
DRREDDY,1250.2,0.51,0.82
ETERNAL,306.6,0.15,0.73
JSWSTEEL,1164.9,0.16,0.4
BAJAJFINSV,2050.2,0.0,0.0
