symbol,ltp,changepct,contribution
M&M,3431.8,1.4,9.78
ITC,322.15,1.11,9.25
SBIN,1077.15,1.03,8.68
RELIANCE,1395.4,0.32,6.98
NESTLEIND,1332.4,3.46,6.75
HINDUNILVR,2373.0,0.87,3.97
TATACONSUM,1133.9,2.41,3.84
APOLLOHOSP,6960.5,2.35,3.75
AXISBANK,1370.4,0.49,3.67
BEL,449.0,1.01,3.25
TITAN,3977.4,0.96,3.23
MARUTI,14599.0,0.67,2.95
BAJAJ-AUTO,9597.5,0.9,1.89
EICHERMOT,7122.5,0.94,1.88
SUNPHARMA,1595.3,0.38,1.48
ASIANPAINT,2428.3,0.51,1.42
DRREDDY,1218.1,0.76,1.21
HDFCLIFE,731.0,0.54,0.97
MAXHEALTH,956.8,0.44,0.77
BAJAJFINSV,1952.6,0.23,0.58
BHARTIARTL,1968.7,0.04,0.49
CIPLA,1324.0,0.23,0.42
ADANIPORTS,1419.8,0.14,0.33
SBILIFE,1998.5,0.11,0.21
ADANIENT,2020.4,0.06,0.08
JIOFIN,254.5,0.0,0.0
LT,3932.3,-0.02,-0.2
ULTRACEMCO,12694.0,-0.18,-0.54
SHRIRAMFIN,1020.0,-0.27,-0.66
TMPV,350.05,-0.5,-0.89
GRASIM,2819.0,-0.45,-1.01
INDIGO,4596.5,-0.53,-1.46
WIPRO,236.9,-1.21,-1.81
NTPC,356.0,-0.6,-1.99
TRENT,3785.5,-1.0,-2.05
TECHM,1743.1,-1.43,-2.82
ETERNAL,273.6,-0.64,-2.84
BAJFINANCE,929.85,-0.57,-3.25
POWERGRID,256.5,-1.54,-4.02
TCS,3123.9,-0.65,-4.39
JSWSTEEL,1214.4,-1.87,-4.4
ONGC,268.96,-2.33,-4.84
HCLTECH,1695.6,-1.51,-5.47
COALINDIA,440.75,-3.29,-6.08
KOTAKBANK,408.0,-1.07,-6.96
INFY,1641.0,-1.11,-13.15
TATASTEEL,193.13,-4.54,-14.14
HINDALCO,962.6,-6.0,-15.04
HDFCBANK,929.25,-0.67,-21.55
ICICIBANK,1355.0,-2.07,-43.66
