symbol,ltp,changepct,contribution
HDFCBANK,731.0,2.46,72.94
BHARTIARTL,1893.3,3.03,33.96
BAJFINANCE,1040.3,2.43,12.76
LT,3885.0,1.26,11.65
ADANIPORTS,1824.0,4.7,10.2
AXISBANK,1257.0,1.35,9.33
ULTRACEMCO,11014.0,2.27,6.31
SBIN,996.2,0.75,5.83
POWERGRID,270.3,2.42,5.82
ETERNAL,326.85,1.38,5.64
ADANIENT,3020.0,3.21,4.12
INDIGO,4920.0,1.52,3.87
JSWSTEEL,1275.6,1.74,3.78
SHRIRAMFIN,1010.0,1.49,3.34
APOLLOHOSP,8944.5,1.97,2.9
TRENT,2824.0,1.24,2.34
GRASIM,3209.2,1.12,2.33
CIPLA,1394.5,1.31,2.2
MAXHEALTH,1049.3,1.17,1.88
HINDALCO,986.5,0.61,1.41
DRREDDY,1185.0,0.84,1.24
EICHERMOT,7516.0,0.3,0.55
JIOFIN,229.89,0.26,0.52
WIPRO,166.83,0.26,0.36
ONGC,232.8,0.16,0.31
NESTLEIND,1372.4,0.13,0.23
