symbol,ltp,changepct,contribution
INDIGO,4923.5,-8.32,-23.54
BEL,386.4,-5.04,-16.62
SBIN,956.4,-1.55,-13.4
BHARTIARTL,2086.2,-1.07,-13.33
BAJFINANCE,1026.4,-2.06,-12.03
ETERNAL,285.25,-2.45,-11.13
LT,3996.7,-1.03,-10.59
JSWSTEEL,1119.1,-3.71,-8.96
KOTAKBANK,2131.6,-1.08,-7.21
TATASTEEL,163.47,-2.18,-6.96
M&M,3681.7,-0.95,-6.81
SHRIRAMFIN,834.25,-2.42,-6.03
ITC,402.3,-0.65,-5.55
AXISBANK,1273.8,-0.68,-5.23
NESTLEIND,1214.8,-2.57,-5.14
HINDUNILVR,2314.0,-1.05,-4.91
JIOFIN,297.2,-2.16,-4.82
TRENT,4090.5,-2.21,-4.65
ADANIPORTS,1480.5,-1.91,-4.61
BAJAJFINSV,2059.2,-1.78,-4.57
POWERGRID,265.2,-1.7,-4.55
ICICIBANK,1389.6,-0.21,-4.54
TITAN,3767.0,-1.21,-4.18
NTPC,319.5,-1.18,-4.01
INFY,1610.8,-0.33,-4.01
ASIANPAINT,2928.3,-1.35,-3.86
ADANIENT,2216.2,-2.17,-3.1
MAXHEALTH,1079.4,-1.64,-2.94
CIPLA,1497.6,-1.53,-2.86
TMPV,348.3,-1.5,-2.73
MARUTI,16187.0,-0.58,-2.62
TATACONSUM,1145.8,-1.47,-2.4
ONGC,238.52,-1.12,-2.38
APOLLOHOSP,7096.0,-1.3,-2.13
SUNPHARMA,1796.2,-0.5,-2.0
BAJAJ-AUTO,9026.0,-0.91,-1.96
EICHERMOT,7142.0,-0.92,-1.89
ULTRACEMCO,11540.0,-0.49,-1.51
COALINDIA,377.35,-0.68,-1.29
HINDALCO,819.45,-0.46,-1.18
DRREDDY,1266.5,-0.68,-1.11
HDFCLIFE,764.05,-0.55,-1.01
HDFCBANK,1003.1,-0.02,-0.66
TCS,3236.5,-0.05,-0.35
SBILIFE,2020.7,-0.15,-0.29
GRASIM,2744.2,-0.1,-0.23
