symbol,ltp,changepct,contribution
RELIANCE,1470.6,-2.23,-49.74
LT,4028.4,-3.09,-31.66
TCS,3203.9,-2.78,-19.21
INFY,1613.3,-1.57,-19.01
BHARTIARTL,2066.3,-0.86,-10.68
HINDALCO,903.95,-3.68,-9.43
HDFCBANK,946.7,-0.25,-8.22
SBIN,998.0,-0.91,-7.84
JIOFIN,293.55,-3.28,-7.3
JSWSTEEL,1155.9,-2.85,-6.86
ONGC,231.42,-3.2,-6.79
TATASTEEL,180.12,-2.0,-6.37
TECHM,1577.9,-2.91,-5.87
AXISBANK,1286.8,-0.67,-5.13
SUNPHARMA,1760.7,-1.23,-4.9
WIPRO,262.2,-3.18,-4.86
POWERGRID,259.3,-1.82,-4.85
M&M,3724.0,-0.66,-4.71
DRREDDY,1206.9,-2.89,-4.71
NTPC,344.4,-1.28,-4.34
MARUTI,16664.0,-0.86,-3.87
ADANIENT,2214.0,-2.64,-3.76
GRASIM,2792.0,-1.59,-3.66
TRENT,3990.4,-1.73,-3.63
KOTAKBANK,2133.0,-0.51,-3.39
HDFCLIFE,758.15,-1.84,-3.38
ULTRACEMCO,12064.0,-0.98,-3.02
BAJAJFINSV,2008.9,-1.13,-2.89
COALINDIA,425.25,-1.48,-2.8
INDIGO,4906.5,-0.9,-2.54
HINDUNILVR,2386.7,-0.53,-2.47
ASIANPAINT,2786.5,-0.82,-2.33
TATACONSUM,1197.4,-1.25,-2.04
TITAN,4249.0,-0.57,-1.96
TMPV,359.45,-1.07,-1.94
APOLLOHOSP,7364.5,-1.11,-1.81
NESTLEIND,1306.9,-0.6,-1.2
CIPLA,1460.6,-0.5,-0.93
EICHERMOT,7551.0,-0.42,-0.86
ITC,340.9,-0.1,-0.85
MAXHEALTH,1029.8,-0.47,-0.84
SHRIRAMFIN,992.9,-0.3,-0.75
BAJAJ-AUTO,9760.5,-0.3,-0.64
HCLTECH,1646.7,-0.06,-0.22
ADANIPORTS,1465.2,-0.01,-0.02
