symbol,ltp,changepct,contribution
RELIANCE,1466.8,3.53,78.91
BHARTIARTL,2051.5,1.96,23.0
INFY,1460.9,1.37,17.38
AXISBANK,1226.0,2.15,17.11
TCS,3015.2,1.79,14.8
SBIN,907.5,2.06,14.64
LT,3872.7,0.87,8.0
CIPLA,1639.1,3.9,7.96
BAJAJFINSV,2139.8,2.69,6.67
TITAN,3737.2,1.7,5.58
SHRIRAMFIN,693.95,2.73,5.5
BAJFINANCE,1081.0,1.02,5.4
HINDALCO,786.35,1.75,3.71
DRREDDY,1282.0,2.08,3.55
KOTAKBANK,2213.8,0.36,2.74
SUNPHARMA,1688.6,0.57,2.64
TATAMOTORS,399.75,0.79,2.49
HCLTECH,1495.4,0.62,2.42
BEL,416.5,0.9,2.37
APOLLOHOSP,8010.0,1.37,2.27
ITC,413.05,0.22,2.05
TATACONSUM,1176.4,0.89,1.59
GRASIM,2854.0,0.63,1.55
INDUSINDBK,759.75,1.17,1.51
HDFCBANK,1002.95,0.04,1.37
NTPC,341.95,0.28,1.11
HEROMOTOCO,5641.0,0.87,1.01
COALINDIA,390.6,0.46,0.95
ONGC,248.74,0.42,0.93
JIOFIN,310.7,0.45,0.9
ASIANPAINT,2516.0,0.33,0.85
MARUTI,16424.0,0.14,0.53
WIPRO,241.24,0.14,0.22
ADANIENT,2548.1,-0.05,-0.07
TATASTEEL,171.95,-0.16,-0.43
SBILIFE,1839.7,-0.24,-0.45
TECHM,1444.4,-0.22,-0.49
BAJAJ-AUTO,9124.5,-0.28,-0.59
ULTRACEMCO,12346.0,-0.19,-0.6
NESTLEIND,1285.4,-0.32,-0.65
TRENT,4802.3,-0.25,-0.67
EICHERMOT,7013.5,-0.41,-0.74
HDFCLIFE,742.25,-0.5,-0.93
POWERGRID,288.2,-0.53,-1.74
HINDUNILVR,2594.4,-0.36,-1.76
ADANIPORTS,1467.0,-0.84,-1.78
JSWSTEEL,1145.2,-1.56,-3.59
ETERNAL,338.15,-1.31,-4.98
M&M,3599.1,-1.32,-8.05
ICICIBANK,1390.3,-3.22,-76.14
