symbol,ltp,changepct,contribution
LT,4070.7,1.26,12.17
TCS,2375.0,1.08,7.03
ITC,278.5,0.85,6.82
HINDUNILVR,2092.0,1.41,6.19
ETERNAL,318.0,1.26,5.38
M&M,3428.2,0.72,4.85
NTPC,344.25,1.41,4.51
TATACONSUM,1090.5,2.69,4.13
BEL,410.5,1.18,3.66
TMPV,349.6,1.92,3.28
SHRIRAMFIN,1132.3,1.35,3.16
KOTAKBANK,392.4,0.49,3.07
INDIGO,5370.0,0.69,1.83
TECHM,1639.0,0.86,1.64
ASIANPAINT,2755.5,0.57,1.53
EICHERMOT,8100.0,0.63,1.21
HCLTECH,1370.0,0.34,1.19
JSWSTEEL,1275.0,0.46,1.04
MAXHEALTH,1013.3,0.58,0.98
MARUTI,13905.0,0.22,0.93
DRREDDY,1206.0,0.5,0.77
SBIN,1083.0,0.09,0.73
ONGC,239.9,0.36,0.72
BAJAJFINSV,2025.0,0.22,0.53
COALINDIA,410.5,0.29,0.52
HDFCLIFE,538.05,0.2,0.35
TRENT,2990.0,0.1,0.2
APOLLOHOSP,8600.0,0.03,0.05
NESTLEIND,1506.9,-0.01,-0.02
JIOFIN,255.6,-0.18,-0.38
CIPLA,1458.8,-0.29,-0.51
WIPRO,183.1,-0.46,-0.66
BAJAJ-AUTO,11661.0,-0.33,-0.67
ADANIENT,2964.9,-0.7,-0.94
ADANIPORTS,1658.0,-0.42,-0.95
INFY,1175.0,-0.09,-1.03
BAJFINANCE,1090.8,-0.31,-1.7
SBILIFE,1812.0,-0.98,-1.79
TATASTEEL,184.85,-0.73,-2.19
TITAN,5063.7,-0.69,-2.24
SUNPHARMA,1932.0,-0.62,-2.33
POWERGRID,266.6,-1.06,-2.66
GRASIM,3257.0,-1.54,-3.34
BHARTIARTL,1939.1,-0.3,-3.51
ULTRACEMCO,11706.0,-1.56,-4.53
AXISBANK,1221.8,-0.67,-4.84
HINDALCO,1046.25,-2.99,-7.22
HDFCBANK,725.0,-0.55,-17.04
RELIANCE,1317.0,-0.9,-18.93
ICICIBANK,1406.8,-1.74,-35.36
