symbol,ltp,changepct,contribution
HDFCBANK,923.6,1.29,42.13
KOTAKBANK,430.7,2.22,14.67
RELIANCE,1428.0,0.61,13.52
BHARTIARTL,1997.3,1.01,12.47
AXISBANK,1386.7,1.34,10.2
LT,4418.1,0.86,8.76
SBIN,1227.8,0.96,8.22
ICICIBANK,1399.4,0.35,7.5
M&M,3447.1,1.01,7.17
ADANIPORTS,1555.8,2.93,7.01
HINDUNILVR,2345.4,1.34,6.2
ULTRACEMCO,12976.0,1.64,5.02
POWERGRID,303.35,1.47,3.89
HDFCLIFE,742.45,1.89,3.45
DRREDDY,1307.4,2.11,3.42
GRASIM,2873.4,1.43,3.27
NESTLEIND,1315.1,1.65,3.27
TITAN,4272.7,0.86,2.94
MARUTI,15072.0,0.63,2.82
SBILIFE,2109.6,1.42,2.74
EICHERMOT,8038.5,1.29,2.62
NTPC,375.45,0.67,2.26
TATACONSUM,1171.8,1.35,2.19
BAJAJ-AUTO,9905.5,1.0,2.13
ADANIENT,2191.0,1.4,1.98
SUNPHARMA,1732.3,0.46,1.82
APOLLOHOSP,7693.0,1.02,1.65
SHRIRAMFIN,1064.7,0.51,1.26
COALINDIA,426.0,0.58,1.09
TMPV,379.95,0.52,0.94
JSWSTEEL,1240.5,0.38,0.91
BAJFINANCE,1031.0,0.08,0.46
INDIGO,4862.2,0.16,0.45
ASIANPAINT,2429.7,0.07,0.2
TATASTEEL,208.14,-0.11,-0.35
JIOFIN,257.8,-0.31,-0.69
MAXHEALTH,1083.6,-0.4,-0.71
BAJAJFINSV,2051.6,-0.34,-0.87
BEL,439.75,-0.32,-1.04
TRENT,4054.9,-0.88,-1.83
CIPLA,1326.5,-1.09,-2.02
TECHM,1440.9,-1.1,-2.21
ONGC,275.65,-1.08,-2.28
ETERNAL,268.0,-0.54,-2.43
TCS,2676.3,-0.37,-2.54
HCLTECH,1426.2,-0.72,-2.65
WIPRO,205.89,-1.89,-2.87
ITC,325.4,-0.49,-4.15
HINDALCO,916.2,-2.08,-5.29
INFY,1327.5,-1.9,-22.86
